Concept,Target Class,Target Index,Layer,TCAV Score,Positive Count,Total Count,Max Rank Score,Min Rank Score,Avg Rank Score
feathers,cock,7,layer4,1.0000,1300,1300,0.1272,-0.1577,-0.0271
feathers,hen,8,layer4,1.0000,1300,1300,0.0746,-0.1730,-0.0404
feathers,indigo_bunting,14,layer4,1.0000,1300,1300,0.0702,-0.1663,-0.0568
feathers,chickadee,19,layer4,1.0000,1300,1300,0.0423,-0.1704,-0.0771
feathers,kite,21,layer4,1.0000,1300,1300,0.1019,-0.1863,-0.0423
feathers,common_iguana,39,layer4,0.0000,0,1300,0.0101,-0.2512,-0.1287
feathers,American_alligator,50,layer4,0.0000,0,1300,0.0098,-0.2521,-0.1609
feathers,thunder_snake,52,layer4,0.0000,0,1300,0.0397,-0.2650,-0.1630
feathers,green_snake,55,layer4,0.0000,0,1300,0.0212,-0.2541,-0.1388
feathers,garter_snake,57,layer4,0.0000,0,1300,-0.0217,-0.2827,-0.1714
feathers,night_snake,60,layer4,0.0000,0,1300,0.0619,-0.2962,-0.1687
feathers,horned_viper,66,layer4,0.0000,0,1300,0.0032,-0.2810,-0.1656
feathers,harvestman,70,layer4,0.0000,0,1300,-0.0135,-0.2603,-0.1449
feathers,black_and_gold_garden_spider,72,layer4,0.0000,0,1300,0.0018,-0.2521,-0.1320
feathers,barn_spider,73,layer4,0.0000,0,1300,0.0435,-0.2561,-0.1385
feathers,garden_spider,74,layer4,0.0000,0,1300,0.0447,-0.2474,-0.1478
feathers,black_widow,75,layer4,0.0000,0,1300,0.0043,-0.2489,-0.1477
feathers,toucan,96,layer4,1.0000,1300,1300,0.0695,-0.1924,-0.0596
feathers,chiton,116,layer4,0.0000,0,1300,0.0923,-0.2552,-0.1323
feathers,American_coot,137,layer4,1.0000,1300,1300,0.0499,-0.1903,-0.0840
feathers,red-backed_sandpiper,140,layer4,1.0000,1300,1300,0.0986,-0.2088,-0.0767
feathers,redshank,141,layer4,1.0000,1300,1300,0.0728,-0.2077,-0.0811
feathers,albatross,146,layer4,1.0000,1300,1300,0.0349,-0.1911,-0.0673
feathers,sea_lion,150,layer4,0.0000,0,1300,0.0078,-0.2598,-0.1232
feathers,stingray,6,layer4,0.0000,0,1300,-0.0012,-0.2606,-0.1408
feathers,bulbul,16,layer4,1.0000,1300,1300,0.0558,-0.1700,-0.0644
feathers,magpie,18,layer4,1.0000,1300,1300,0.1207,-0.1840,-0.0660
feathers,water_ouzel,20,layer4,0.0000,0,1300,0.0444,-0.2406,-0.1047
feathers,bald_eagle,22,layer4,1.0000,1300,1300,0.0954,-0.1791,-0.0344
feathers,great_grey_owl,24,layer4,1.0000,1300,1300,0.0722,-0.2097,-0.0493
feathers,spotted_salamander,28,layer4,0.0000,0,1300,-0.0314,-0.2844,-0.1832
feathers,tailed_frog,32,layer4,0.0000,0,1300,-0.0163,-0.2777,-0.1884
feathers,loggerhead,33,layer4,0.0000,0,1300,-0.0348,-0.2766,-0.1631
feathers,mud_turtle,35,layer4,0.0000,0,1300,0.0049,-0.2505,-0.1537
feathers,whiptail,41,layer4,0.0000,0,1300,0.0589,-0.2583,-0.1543
feathers,green_lizard,46,layer4,0.0000,0,1300,0.0243,-0.2309,-0.1202
feathers,king_snake,56,layer4,0.0000,0,1300,0.0127,-0.2643,-0.1492
feathers,sea_snake,65,layer4,0.0000,0,1300,0.0090,-0.2677,-0.1635
feathers,sidewinder,68,layer4,0.0000,0,1300,-0.0026,-0.2814,-0.1564
feathers,bee_eater,92,layer4,1.0000,1300,1300,0.0750,-0.1557,-0.0444
feathers,hornbill,93,layer4,1.0000,1300,1300,0.0628,-0.1716,-0.0539
feathers,drake,97,layer4,1.0000,1300,1300,0.0710,-0.2051,-0.0663
feathers,wombat,106,layer4,0.0000,0,1300,0.0059,-0.2496,-0.1347
feathers,snail,113,layer4,0.0000,0,1300,0.0057,-0.2589,-0.1488
feathers,chambered_nautilus,117,layer4,0.0000,0,1300,0.0819,-0.2321,-0.0963
feathers,white_stork,127,layer4,1.0000,1300,1300,0.0838,-0.1871,-0.0280
feathers,spoonbill,129,layer4,1.0000,1300,1300,0.0731,-0.1912,-0.0615
feathers,bittern,133,layer4,1.0000,1300,1300,0.0502,-0.1949,-0.0918
feathers,limpkin,135,layer4,1.0000,1300,1300,0.0806,-0.2104,-0.0775
feathers,tiger_shark,3,layer4,0.0000,0,1300,-0.0047,-0.2374,-0.1342
feathers,electric_ray,5,layer4,0.0000,0,1300,-0.0016,-0.2648,-0.1458
feathers,common_newt,26,layer4,0.0000,0,1300,-0.0154,-0.2687,-0.1770
feathers,terrapin,36,layer4,0.0000,0,1300,-0.0280,-0.2500,-0.1460
feathers,banded_gecko,38,layer4,0.0000,0,1300,-0.0327,-0.2672,-0.1703
feathers,hognose_snake,54,layer4,0.0000,0,1300,-0.0177,-0.2702,-0.1655
feathers,vine_snake,59,layer4,0.0000,0,1300,0.0349,-0.2738,-0.1402
feathers,boa_constrictor,61,layer4,0.0000,0,1300,-0.0248,-0.2724,-0.1638
feathers,diamondback,67,layer4,0.0000,0,1300,0.0911,-0.2897,-0.1477
feathers,scorpion,71,layer4,0.0000,0,1300,-0.0106,-0.2874,-0.1718
feathers,tarantula,76,layer4,0.0000,0,1300,0.0679,-0.2619,-0.1175
feathers,tick,78,layer4,0.0000,0,1300,0.0265,-0.2861,-0.1567
feathers,ptarmigan,81,layer4,1.0000,1300,1300,0.0350,-0.2081,-0.0841
feathers,prairie_chicken,83,layer4,1.0000,1300,1300,0.0442,-0.1907,-0.0815
feathers,peacock,84,layer4,1.0000,1300,1300,0.1159,-0.1701,-0.0300
feathers,sulphur-crested_cockatoo,89,layer4,1.0000,1300,1300,0.0796,-0.1694,-0.0457
feathers,goose,99,layer4,1.0000,1300,1300,0.0871,-0.1736,-0.0525
feathers,black_swan,100,layer4,1.0000,1300,1300,0.0610,-0.1891,-0.0743
feathers,wallaby,104,layer4,0.0000,0,1300,0.0410,-0.2276,-0.1279
feathers,jellyfish,107,layer4,0.0000,0,1300,0.0653,-0.2512,-0.1147
feathers,conch,112,layer4,0.0000,0,1300,0.0820,-0.2474,-0.1273
feathers,Dungeness_crab,118,layer4,0.0000,0,1300,0.0098,-0.2775,-0.1296
feathers,crayfish,124,layer4,0.0000,0,1300,0.0052,-0.2743,-0.1523
feathers,hermit_crab,125,layer4,0.0000,0,1300,-0.0278,-0.2826,-0.1825
feathers,pelican,144,layer4,1.0000,1300,1300,0.0735,-0.1834,-0.0479
