Concept,Target Class,Target Index,Layer,TCAV Score,Positive Count,Total Count,Max Rank Score,Min Rank Score,Avg Rank Score
feathers,thunder_snake,52,layer4,0.0000,0,1300,12.1197,-91.6836,-42.6612
feathers,green_snake,55,layer4,0.0000,0,1300,5.9633,-79.0633,-37.7170
feathers,garter_snake,57,layer4,0.0000,0,1300,-5.1188,-94.3140,-45.6830
feathers,night_snake,60,layer4,0.0000,0,1300,12.9519,-87.7310,-44.7302
feathers,horned_viper,66,layer4,0.0000,0,1300,0.7296,-84.7211,-44.8672
feathers,harvestman,70,layer4,0.0000,0,1300,-3.6530,-78.3274,-41.7861
feathers,black_and_gold_garden_spider,72,layer4,0.0000,0,1300,0.3563,-82.7097,-34.8155
feathers,barn_spider,73,layer4,0.0000,0,1300,8.1840,-72.4387,-38.4318
feathers,garden_spider,74,layer4,0.0000,0,1300,12.7452,-82.2709,-40.5157
feathers,black_widow,75,layer4,0.0000,0,1300,1.2283,-73.0410,-41.1735
feathers,toucan,96,layer4,1.0000,1300,1300,19.5852,-62.7312,-17.7934
feathers,chiton,116,layer4,0.0000,0,1300,23.9793,-74.3829,-36.9670
feathers,American_coot,137,layer4,1.0000,1300,1300,12.9115,-60.1181,-24.4502
feathers,red-backed_sandpiper,140,layer4,1.0000,1300,1300,30.8697,-60.9099,-20.3964
feathers,redshank,141,layer4,1.0000,1300,1300,21.9673,-59.7351,-21.8470
feathers,albatross,146,layer4,1.0000,1300,1300,10.8573,-59.5841,-19.7579
feathers,sea_lion,150,layer4,0.0000,0,1300,2.2014,-76.8333,-36.0955
feathers,stingray,6,layer4,0.0000,0,1300,-0.2924,-75.2049,-39.0982
feathers,bulbul,16,layer4,1.0000,1300,1300,18.5405,-54.5429,-19.0429
feathers,magpie,18,layer4,1.0000,1300,1300,34.2507,-52.6799,-18.8402
feathers,water_ouzel,20,layer4,0.0000,0,1300,16.3638,-70.6631,-29.7488
feathers,bald_eagle,22,layer4,1.0000,1300,1300,33.4967,-56.4818,-10.3441
feathers,great_grey_owl,24,layer4,1.0000,1300,1300,20.7524,-66.7626,-14.7254
feathers,spotted_salamander,28,layer4,0.0000,0,1300,-7.7876,-97.0420,-48.0437
feathers,tailed_frog,32,layer4,0.0000,0,1300,-3.6393,-94.6914,-52.5602
feathers,loggerhead,33,layer4,0.0000,0,1300,-12.3703,-91.6212,-47.2279
feathers,mud_turtle,35,layer4,0.0000,0,1300,1.4423,-79.5621,-44.3733
feathers,whiptail,41,layer4,0.0000,0,1300,12.8834,-87.1116,-41.2802
feathers,green_lizard,46,layer4,0.0000,0,1300,5.9593,-74.0517,-33.5331
feathers,king_snake,56,layer4,0.0000,0,1300,2.5861,-87.4826,-38.4314
feathers,sea_snake,65,layer4,0.0000,0,1300,2.2744,-87.0002,-42.9000
feathers,sidewinder,68,layer4,0.0000,0,1300,-0.6316,-93.1007,-40.9633
feathers,bee_eater,92,layer4,1.0000,1300,1300,22.0881,-47.5036,-12.4701
feathers,hornbill,93,layer4,1.0000,1300,1300,22.1821,-54.9527,-16.3235
feathers,drake,97,layer4,1.0000,1300,1300,23.8654,-58.2474,-19.4186
feathers,wombat,106,layer4,0.0000,0,1300,1.5195,-90.3851,-40.3362
feathers,snail,113,layer4,0.0000,0,1300,1.1006,-89.5374,-43.8673
feathers,chambered_nautilus,117,layer4,0.0000,0,1300,27.3215,-71.2973,-28.5157
feathers,white_stork,127,layer4,1.0000,1300,1300,26.5741,-53.2835,-7.8132
feathers,spoonbill,129,layer4,1.0000,1300,1300,22.6718,-59.0920,-17.9900
feathers,bittern,133,layer4,1.0000,1300,1300,14.7598,-68.9435,-26.5065
feathers,limpkin,135,layer4,1.0000,1300,1300,24.0966,-58.6951,-21.8308
feathers,tiger_shark,3,layer4,0.0000,0,1300,-1.4953,-72.9828,-38.6494
feathers,electric_ray,5,layer4,0.0000,0,1300,-0.3569,-76.0989,-39.2981
feathers,common_newt,26,layer4,0.0000,0,1300,-3.6640,-92.7554,-47.7060
feathers,terrapin,36,layer4,0.0000,0,1300,-8.0076,-82.9698,-43.0932
feathers,banded_gecko,38,layer4,0.0000,0,1300,-9.5590,-89.7636,-47.4343
feathers,hognose_snake,54,layer4,0.0000,0,1300,-3.8032,-85.3023,-44.6267
feathers,vine_snake,59,layer4,0.0000,0,1300,6.8257,-82.7955,-37.8394
feathers,boa_constrictor,61,layer4,0.0000,0,1300,-7.0992,-96.6198,-47.3618
feathers,diamondback,67,layer4,0.0000,0,1300,23.8399,-96.3685,-39.9375
feathers,scorpion,71,layer4,0.0000,0,1300,-3.3621,-101.8002,-50.6116
feathers,tarantula,76,layer4,0.0000,0,1300,15.1595,-82.0219,-35.3778
feathers,tick,78,layer4,0.0000,0,1300,5.0018,-95.6610,-43.9105
feathers,ptarmigan,81,layer4,1.0000,1300,1300,9.8705,-66.5971,-23.6080
feathers,prairie_chicken,83,layer4,1.0000,1300,1300,14.0604,-57.8313,-23.1616
feathers,peacock,84,layer4,1.0000,1300,1300,32.2505,-55.4770,-9.0273
feathers,sulphur-crested_cockatoo,89,layer4,1.0000,1300,1300,23.8384,-48.7041,-13.0669
feathers,goose,99,layer4,1.0000,1300,1300,26.0741,-53.0385,-15.4116
feathers,black_swan,100,layer4,1.0000,1300,1300,19.8621,-57.9326,-23.1712
feathers,wallaby,104,layer4,0.0000,0,1300,12.3767,-80.9967,-37.7344
feathers,jellyfish,107,layer4,0.0000,0,1300,18.7206,-72.4738,-31.0948
feathers,conch,112,layer4,0.0000,0,1300,19.8155,-75.8011,-36.3081
feathers,Dungeness_crab,118,layer4,0.0000,0,1300,2.5683,-88.1240,-38.0965
feathers,crayfish,124,layer4,0.0000,0,1300,1.3277,-100.7327,-43.8618
feathers,hermit_crab,125,layer4,0.0000,0,1300,-6.3589,-103.6924,-53.7248
feathers,pelican,144,layer4,1.0000,1300,1300,24.6676,-68.4337,-14.3894
